"metro","date","time","cases","newCases","deaths","newDeaths","population","closePublicSchools","banGatherings","closeSocialRetail","stayAtHome"
"Seattle-Tacoma-Bellevue, WA",2020-04-06,36,5658,237,293,25,3939363,1,1,1,1
"Seattle-Tacoma-Bellevue, WA",2020-04-07,37,5912,254,306,13,3939363,1,1,1,1
"Seattle-Tacoma-Bellevue, WA",2020-04-08,38,6185,273,323,17,3939363,1,1,1,1
"Seattle-Tacoma-Bellevue, WA",2020-04-09,39,6433,248,340,17,3939363,1,1,1,1
"Seattle-Tacoma-Bellevue, WA",2020-04-10,40,6801,368,364,24,3939363,1,1,1,1
"Seattle-Tacoma-Bellevue, WA",2020-04-11,41,7026,225,372,8,3939363,1,1,1,1
"Seattle-Tacoma-Bellevue, WA",2020-04-12,42,7231,205,383,11,3939363,1,1,1,1
"Seattle-Tacoma-Bellevue, WA",2020-04-13,43,7433,202,391,8,3939363,1,1,1,1
"Seattle-Tacoma-Bellevue, WA",2020-04-14,44,7577,144,405,14,3939363,1,1,1,1
"Seattle-Tacoma-Bellevue, WA",2020-04-15,45,7714,137,422,17,3939363,1,1,1,1
"Seattle-Tacoma-Bellevue, WA",2020-04-16,46,7906,192,437,15,3939363,1,1,1,1
"Seattle-Tacoma-Bellevue, WA",2020-04-17,47,8051,145,450,13,3939363,1,1,1,1
"St. Louis, MO-IL",2020-03-01,0,0,0,0,0,2830408,0,0,0,0
"St. Louis, MO-IL",2020-03-02,1,0,0,0,0,2830408,0,0,0,0
"St. Louis, MO-IL",2020-03-03,2,0,0,0,0,2830408,0,0,0,0
"St. Louis, MO-IL",2020-03-07,6,1,1,0,0,2830408,0,0,0,0
"St. Louis, MO-IL",2020-03-08,7,1,0,0,0,2830408,0,0,0,0
"St. Louis, MO-IL",2020-03-09,8,1,0,0,0,2830408,0,0,0,0
"St. Louis, MO-IL",2020-03-10,9,1,0,0,0,2830408,0,0,0,0
"St. Louis, MO-IL",2020-03-11,10,1,0,0,0,2830408,0,0,0,0
"St. Louis, MO-IL",2020-03-12,11,1,0,0,0,2830408,0,0,0,0
"St. Louis, MO-IL",2020-03-13,12,2,1,0,0,2830408,0,0,0,0
"St. Louis, MO-IL",2020-03-14,13,4,2,0,0,2830408,0,0,0,0
"St. Louis, MO-IL",2020-03-15,14,5,1,0,0,2830408,0,0,0,0
"St. Louis, MO-IL",2020-03-16,15,7,2,0,0,2830408,0,0,0,0
"St. Louis, MO-IL",2020-03-17,16,9,2,0,0,2830408,0,0,0,0
"St. Louis, MO-IL",2020-03-18,17,15,6,0,0,2830408,1,0,0,0
"St. Louis, MO-IL",2020-03-19,18,23,8,0,0,2830408,1,0,0,0
"St. Louis, MO-IL",2020-03-20,19,29,6,1,1,2830408,1,0,0,0
"St. Louis, MO-IL",2020-03-21,20,43,14,1,0,2830408,1,0,1,0
"St. Louis, MO-IL",2020-03-22,21,80,37,1,0,2830408,1,0,1,0
"St. Louis, MO-IL",2020-03-23,22,98,18,2,1,2830408,1,0,1,0
"St. Louis, MO-IL",2020-03-24,23,106,8,2,0,2830408,1,0,1,0
"St. Louis, MO-IL",2020-03-25,24,224,118,3,1,2830408,1,0,1,0
"St. Louis, MO-IL",2020-03-26,25,305,81,3,0,2830408,1,1,1,0
"St. Louis, MO-IL",2020-03-27,26,403,98,5,2,2830408,1,1,1,0
"St. Louis, MO-IL",2020-03-28,27,505,102,6,1,2830408,1,1,1,0
"St. Louis, MO-IL",2020-03-29,28,557,52,8,2,2830408,1,1,1,0
"St. Louis, MO-IL",2020-03-30,29,616,59,8,0,2830408,1,1,1,0
"St. Louis, MO-IL",2020-03-31,30,849,233,9,1,2830408,1,1,1,0
"St. Louis, MO-IL",2020-04-01,31,884,35,9,0,2830408,1,1,1,1
"St. Louis, MO-IL",2020-04-02,32,1218,334,16,7,2830408,1,1,1,1
"St. Louis, MO-IL",2020-04-03,33,1418,200,21,5,2830408,1,1,1,1
"St. Louis, MO-IL",2020-04-04,34,1564,146,28,7,2830408,1,1,1,1
"St. Louis, MO-IL",2020-04-05,35,1625,61,35,7,2830408,1,1,1,1
"St. Louis, MO-IL",2020-04-06,36,1899,274,36,1,2830408,1,1,1,1
"St. Louis, MO-IL",2020-04-07,37,2193,294,55,19,2830408,1,1,1,1
"St. Louis, MO-IL",2020-04-08,38,2451,258,60,5,2830408,1,1,1,1
"St. Louis, MO-IL",2020-04-09,39,2684,233,65,5,2830408,1,1,1,1
"St. Louis, MO-IL",2020-04-10,40,2903,219,76,11,2830408,1,1,1,1
"St. Louis, MO-IL",2020-04-11,41,3082,179,87,11,2830408,1,1,1,1
"St. Louis, MO-IL",2020-04-12,42,3219,137,88,1,2830408,1,1,1,1
"St. Louis, MO-IL",2020-04-13,43,3389,170,106,18,2830408,1,1,1,1
"St. Louis, MO-IL",2020-04-14,44,3640,251,115,9,2830408,1,1,1,1
"St. Louis, MO-IL",2020-04-15,45,3784,144,130,15,2830408,1,1,1,1
"St. Louis, MO-IL",2020-04-16,46,3939,155,140,10,2830408,1,1,1,1
"St. Louis, MO-IL",2020-04-17,47,4072,133,158,18,2830408,1,1,1,1
"Tampa-St. Petersburg-Clearwater, FL",2020-03-01,0,1,1,0,0,3142663,0,0,0,0
"Tampa-St. Petersburg-Clearwater, FL",2020-03-02,1,1,0,0,0,3142663,0,0,0,0
"Tampa-St. Petersburg-Clearwater, FL",2020-03-03,2,2,1,0,0,3142663,0,0,0,0
"Tampa-St. Petersburg-Clearwater, FL",2020-03-04,3,2,0,0,0,3142663,0,0,0,0
"Tampa-St. Petersburg-Clearwater, FL",2020-03-05,4,2,0,0,0,3142663,0,0,0,0
"Tampa-St. Petersburg-Clearwater, FL",2020-03-06,5,2,0,0,0,3142663,0,0,0,0
"Tampa-St. Petersburg-Clearwater, FL",2020-03-07,6,2,0,0,0,3142663,0,0,0,0
"Tampa-St. Petersburg-Clearwater, FL",2020-03-08,7,2,0,0,0,3142663,0,0,0,0
"Tampa-St. Petersburg-Clearwater, FL",2020-03-09,8,2,0,0,0,3142663,0,0,0,0
"Tampa-St. Petersburg-Clearwater, FL",2020-03-10,9,5,3,0,0,3142663,0,0,0,0
"Tampa-St. Petersburg-Clearwater, FL",2020-03-11,10,5,0,0,0,3142663,0,0,0,0
"Tampa-St. Petersburg-Clearwater, FL",2020-03-12,11,6,1,0,0,3142663,0,0,0,0
"Tampa-St. Petersburg-Clearwater, FL",2020-03-13,12,6,0,0,0,3142663,0,0,0,0
"Tampa-St. Petersburg-Clearwater, FL",2020-03-14,13,6,0,0,0,3142663,0,0,0,0
"Tampa-St. Petersburg-Clearwater, FL",2020-03-15,14,10,4,0,0,3142663,0,0,0,0
"Tampa-St. Petersburg-Clearwater, FL",2020-03-16,15,12,2,0,0,3142663,0,0,0,0
"Tampa-St. Petersburg-Clearwater, FL",2020-03-17,16,15,3,0,0,3142663,0,0,0,0
"Tampa-St. Petersburg-Clearwater, FL",2020-03-18,17,29,14,0,0,3142663,1,0,0,0
"Tampa-St. Petersburg-Clearwater, FL",2020-03-19,18,45,16,0,0,3142663,1,0,0,0
"Tampa-St. Petersburg-Clearwater, FL",2020-03-20,19,64,19,0,0,3142663,1,0,0,0
"Tampa-St. Petersburg-Clearwater, FL",2020-03-21,20,89,25,0,0,3142663,1,0,1,0
"Tampa-St. Petersburg-Clearwater, FL",2020-03-22,21,112,23,1,1,3142663,1,0,1,0
"Tampa-St. Petersburg-Clearwater, FL",2020-03-23,22,135,23,1,0,3142663,1,0,1,0
"Tampa-St. Petersburg-Clearwater, FL",2020-03-24,23,163,28,2,1,3142663,1,0,1,0
"Tampa-St. Petersburg-Clearwater, FL",2020-03-25,24,203,40,2,0,3142663,1,0,1,0
"Tampa-St. Petersburg-Clearwater, FL",2020-03-26,25,246,43,3,1,3142663,1,1,1,0
"Tampa-St. Petersburg-Clearwater, FL",2020-03-27,26,293,47,4,1,3142663,1,1,1,0
"Tampa-St. Petersburg-Clearwater, FL",2020-03-28,27,365,72,8,4,3142663,1,1,1,0
"Tampa-St. Petersburg-Clearwater, FL",2020-03-29,28,396,31,9,1,3142663,1,1,1,0
"Tampa-St. Petersburg-Clearwater, FL",2020-03-30,29,460,64,9,0,3142663,1,1,1,0
"Tampa-St. Petersburg-Clearwater, FL",2020-03-31,30,536,76,10,1,3142663,1,1,1,0
"Tampa-St. Petersburg-Clearwater, FL",2020-04-01,31,674,138,10,0,3142663,1,1,1,1
"Tampa-St. Petersburg-Clearwater, FL",2020-04-02,32,777,103,13,3,3142663,1,1,1,1
"Tampa-St. Petersburg-Clearwater, FL",2020-04-03,33,896,119,14,1,3142663,1,1,1,1
"Tampa-St. Petersburg-Clearwater, FL",2020-04-04,34,969,73,14,0,3142663,1,1,1,1
"Tampa-St. Petersburg-Clearwater, FL",2020-04-05,35,1040,71,15,1,3142663,1,1,1,1
"Tampa-St. Petersburg-Clearwater, FL",2020-04-06,36,1109,69,15,0,3142663,1,1,1,1
"Tampa-St. Petersburg-Clearwater, FL",2020-04-07,37,1168,59,19,4,3142663,1,1,1,1
"Tampa-St. Petersburg-Clearwater, FL",2020-04-08,38,1210,42,20,1,3142663,1,1,1,1
"Tampa-St. Petersburg-Clearwater, FL",2020-04-09,39,1280,70,22,2,3142663,1,1,1,1
"Tampa-St. Petersburg-Clearwater, FL",2020-04-10,40,1314,34,28,6,3142663,1,1,1,1
"Tampa-St. Petersburg-Clearwater, FL",2020-04-11,41,1363,49,31,3,3142663,1,1,1,1
"Tampa-St. Petersburg-Clearwater, FL",2020-04-12,42,1445,82,34,3,3142663,1,1,1,1
"Tampa-St. Petersburg-Clearwater, FL",2020-04-13,43,1532,87,34,0,3142663,1,1,1,1
"Tampa-St. Petersburg-Clearwater, FL",2020-04-14,44,1561,29,37,3,3142663,1,1,1,1
"Tampa-St. Petersburg-Clearwater, FL",2020-04-15,45,1645,84,37,0,3142663,1,1,1,1
"Tampa-St. Petersburg-Clearwater, FL",2020-04-16,46,1674,29,37,0,3142663,1,1,1,1
"Tampa-St. Petersburg-Clearwater, FL",2020-04-17,47,1764,90,40,3,3142663,1,1,1,1
"Tucson, AZ",2020-03-01,0,0,0,0,0,1039073,0,0,0,0
"Tucson, AZ",2020-03-02,1,0,0,0,0,1039073,0,0,0,0
"Tucson, AZ",2020-03-03,2,0,0,0,0,1039073,0,0,0,0
"Tucson, AZ",2020-03-09,8,1,1,0,0,1039073,0,0,0,0
"Tucson, AZ",2020-03-10,9,1,0,0,0,1039073,0,0,0,0
"Tucson, AZ",2020-03-11,10,1,0,0,0,1039073,0,0,0,0
"Tucson, AZ",2020-03-12,11,1,0,0,0,1039073,0,0,0,0
"Tucson, AZ",2020-03-13,12,1,0,0,0,1039073,0,0,0,0
"Tucson, AZ",2020-03-14,13,2,1,0,0,1039073,0,0,0,0
"Tucson, AZ",2020-03-15,14,3,1,0,0,1039073,0,0,0,0
"Tucson, AZ",2020-03-16,15,4,1,0,0,1039073,0,0,0,0
"Tucson, AZ",2020-03-17,16,4,0,0,0,1039073,0,0,0,0
"Tucson, AZ",2020-03-18,17,5,1,0,0,1039073,1,0,0,0
"Tucson, AZ",2020-03-19,18,7,2,0,0,1039073,1,0,0,0
"Tucson, AZ",2020-03-20,19,8,1,0,0,1039073,1,0,0,0
"Tucson, AZ",2020-03-21,20,12,4,0,0,1039073,1,0,1,0
"Tucson, AZ",2020-03-22,21,17,5,0,0,1039073,1,0,1,0
"Tucson, AZ",2020-03-23,22,24,7,0,0,1039073,1,0,1,0
"Tucson, AZ",2020-03-24,23,42,18,0,0,1039073,1,0,1,0
"Tucson, AZ",2020-03-25,24,49,7,0,0,1039073,1,0,1,0
"Tucson, AZ",2020-03-26,25,75,26,0,0,1039073,1,1,1,0
"Tucson, AZ",2020-03-27,26,102,27,4,4,1039073,1,1,1,0
"Tucson, AZ",2020-03-28,27,120,18,5,1,1039073,1,1,1,0
"Tucson, AZ",2020-03-29,28,153,33,6,1,1039073,1,1,1,0
"Tucson, AZ",2020-03-30,29,187,34,6,0,1039073,1,1,1,0
"Tucson, AZ",2020-03-31,30,202,15,6,0,1039073,1,1,1,0
"Tucson, AZ",2020-04-01,31,217,15,10,4,1039073,1,1,1,1
"Tucson, AZ",2020-04-02,32,237,20,11,1,1039073,1,1,1,1
"Tucson, AZ",2020-04-03,33,280,43,11,0,1039073,1,1,1,1
"Tucson, AZ",2020-04-04,34,326,46,12,1,1039073,1,1,1,1
"Tucson, AZ",2020-04-05,35,372,46,12,0,1039073,1,1,1,1
"Tucson, AZ",2020-04-06,36,415,43,13,1,1039073,1,1,1,1
"Tucson, AZ",2020-04-07,37,415,0,13,0,1039073,1,1,1,1
"Tucson, AZ",2020-04-08,38,464,49,16,3,1039073,1,1,1,1
"Tucson, AZ",2020-04-09,39,512,48,20,4,1039073,1,1,1,1
"Tucson, AZ",2020-04-10,40,543,31,20,0,1039073,1,1,1,1
"Tucson, AZ",2020-04-11,41,591,48,29,9,1039073,1,1,1,1
"Tucson, AZ",2020-04-12,42,622,31,29,0,1039073,1,1,1,1
"Tucson, AZ",2020-04-13,43,668,46,29,0,1039073,1,1,1,1
"Tucson, AZ",2020-04-14,44,685,17,32,3,1039073,1,1,1,1
"Tucson, AZ",2020-04-15,45,700,15,34,2,1039073,1,1,1,1
"Tucson, AZ",2020-04-16,46,760,60,37,3,1039073,1,1,1,1
"Tucson, AZ",2020-04-17,47,819,59,51,14,1039073,1,1,1,1
"Virginia Beach-Norfolk-Newport News, VA-NC",2020-03-01,0,0,0,0,0,1723634,0,0,0,0
"Virginia Beach-Norfolk-Newport News, VA-NC",2020-03-02,1,0,0,0,0,1723634,0,0,0,0
"Virginia Beach-Norfolk-Newport News, VA-NC",2020-03-09,8,1,1,0,0,1723634,0,0,0,0
"Virginia Beach-Norfolk-Newport News, VA-NC",2020-03-10,9,2,1,0,0,1723634,0,0,0,0
"Virginia Beach-Norfolk-Newport News, VA-NC",2020-03-11,10,2,0,0,0,1723634,0,0,0,0
"Virginia Beach-Norfolk-Newport News, VA-NC",2020-03-12,11,5,3,0,0,1723634,0,0,0,0
"Virginia Beach-Norfolk-Newport News, VA-NC",2020-03-13,12,10,5,0,0,1723634,0,0,0,0
"Virginia Beach-Norfolk-Newport News, VA-NC",2020-03-14,13,12,2,1,1,1723634,0,0,0,0
"Virginia Beach-Norfolk-Newport News, VA-NC",2020-03-15,14,13,1,1,0,1723634,0,0,0,0
"Virginia Beach-Norfolk-Newport News, VA-NC",2020-03-16,15,15,2,1,0,1723634,0,0,0,0
"Virginia Beach-Norfolk-Newport News, VA-NC",2020-03-17,16,18,3,2,1,1723634,0,0,0,0
"Virginia Beach-Norfolk-Newport News, VA-NC",2020-03-18,17,19,1,2,0,1723634,0,0,0,0
"Virginia Beach-Norfolk-Newport News, VA-NC",2020-03-19,18,20,1,2,0,1723634,1,1,1,0
"Virginia Beach-Norfolk-Newport News, VA-NC",2020-03-20,19,34,14,2,0,1723634,1,1,1,0
"Virginia Beach-Norfolk-Newport News, VA-NC",2020-03-21,20,41,7,2,0,1723634,1,1,1,0
"Virginia Beach-Norfolk-Newport News, VA-NC",2020-03-22,21,69,28,5,3,1723634,1,1,1,0
"Virginia Beach-Norfolk-Newport News, VA-NC",2020-03-23,22,72,3,5,0,1723634,1,1,1,0
"Virginia Beach-Norfolk-Newport News, VA-NC",2020-03-24,23,82,10,5,0,1723634,1,1,1,0
"Virginia Beach-Norfolk-Newport News, VA-NC",2020-03-25,24,98,16,5,0,1723634,1,1,1,1
"Virginia Beach-Norfolk-Newport News, VA-NC",2020-03-26,25,119,21,5,0,1723634,1,1,1,1
"Virginia Beach-Norfolk-Newport News, VA-NC",2020-03-27,26,139,20,5,0,1723634,1,1,1,1
"Virginia Beach-Norfolk-Newport News, VA-NC",2020-03-28,27,170,31,5,0,1723634,1,1,1,1
"Virginia Beach-Norfolk-Newport News, VA-NC",2020-03-29,28,207,37,5,0,1723634,1,1,1,1
"Virginia Beach-Norfolk-Newport News, VA-NC",2020-03-30,29,227,20,5,0,1723634,1,1,1,1
"Virginia Beach-Norfolk-Newport News, VA-NC",2020-03-31,30,295,68,5,0,1723634,1,1,1,1
"Virginia Beach-Norfolk-Newport News, VA-NC",2020-04-01,31,354,59,5,0,1723634,1,1,1,1
"Virginia Beach-Norfolk-Newport News, VA-NC",2020-04-02,32,405,51,5,0,1723634,1,1,1,1
"Virginia Beach-Norfolk-Newport News, VA-NC",2020-04-03,33,473,68,9,4,1723634,1,1,1,1
"Virginia Beach-Norfolk-Newport News, VA-NC",2020-04-04,34,590,117,9,0,1723634,1,1,1,1
"Virginia Beach-Norfolk-Newport News, VA-NC",2020-04-05,35,627,37,9,0,1723634,1,1,1,1
"Virginia Beach-Norfolk-Newport News, VA-NC",2020-04-06,36,661,34,9,0,1723634,1,1,1,1
"Virginia Beach-Norfolk-Newport News, VA-NC",2020-04-07,37,726,65,11,2,1723634,1,1,1,1
"Virginia Beach-Norfolk-Newport News, VA-NC",2020-04-08,38,782,56,11,0,1723634,1,1,1,1
"Virginia Beach-Norfolk-Newport News, VA-NC",2020-04-09,39,813,31,11,0,1723634,1,1,1,1
"Virginia Beach-Norfolk-Newport News, VA-NC",2020-04-10,40,857,44,11,0,1723634,1,1,1,1
"Virginia Beach-Norfolk-Newport News, VA-NC",2020-04-11,41,901,44,11,0,1723634,1,1,1,1
"Virginia Beach-Norfolk-Newport News, VA-NC",2020-04-12,42,933,32,11,0,1723634,1,1,1,1
"Virginia Beach-Norfolk-Newport News, VA-NC",2020-04-13,43,988,55,11,0,1723634,1,1,1,1
"Virginia Beach-Norfolk-Newport News, VA-NC",2020-04-14,44,1045,57,20,9,1723634,1,1,1,1
"Virginia Beach-Norfolk-Newport News, VA-NC",2020-04-15,45,1063,18,20,0,1723634,1,1,1,1
"Virginia Beach-Norfolk-Newport News, VA-NC",2020-04-16,46,1095,32,20,0,1723634,1,1,1,1
"Virginia Beach-Norfolk-Newport News, VA-NC",2020-04-17,47,1129,34,20,0,1723634,1,1,1,1
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-03-01,0,0,0,0,0,6190839,0,0,0,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-03-02,1,0,0,0,0,6190839,0,0,0,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-03-05,4,3,3,0,0,6190839,0,0,0,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-03-06,5,3,0,0,0,6190839,0,0,0,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-03-07,6,5,2,0,0,6190839,0,0,0,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-03-08,7,7,2,0,0,6190839,0,0,0,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-03-09,8,13,6,0,0,6190839,0,0,0,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-03-10,9,18,5,0,0,6190839,0,0,0,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-03-11,10,29,11,0,0,6190839,0,0,0,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-03-12,11,31,2,0,0,6190839,0,0,0,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-03-13,12,41,10,0,0,6190839,0,0,0,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-03-14,13,62,21,0,0,6190839,0,0,0,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-03-15,14,67,5,0,0,6190839,0,0,0,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-03-16,15,80,13,0,0,6190839,0,0,0,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-03-17,16,110,30,0,0,6190839,0,0,0,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-03-18,17,133,23,1,1,6190839,0,0,0,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-03-19,18,185,52,1,0,6190839,0,1,1,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-03-20,19,225,40,2,1,6190839,1,1,1,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-03-21,20,290,65,4,2,6190839,1,1,1,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-03-22,21,352,62,5,1,6190839,1,1,1,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-03-23,22,416,64,5,0,6190839,1,1,1,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-03-24,23,507,91,6,1,6190839,1,1,1,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-03-25,24,651,144,7,1,6190839,1,1,1,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-03-26,25,880,229,7,0,6190839,1,1,1,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-03-27,26,1022,142,8,1,6190839,1,1,1,1
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-03-28,27,1238,216,10,2,6190839,1,1,1,1
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-03-29,28,1424,186,12,2,6190839,1,1,1,1
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-03-30,29,1728,304,21,9,6190839,1,1,1,1
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-03-31,30,1932,204,22,1,6190839,1,1,1,1
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-04-01,31,2263,331,30,8,6190839,1,1,1,1
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-04-02,32,2563,300,36,6,6190839,1,1,1,1
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-04-03,33,2970,407,45,9,6190839,1,1,1,1
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-04-04,34,3422,452,55,10,6190839,1,1,1,1
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-04-05,35,3886,464,65,10,6190839,1,1,1,1
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-04-06,36,4415,529,82,17,6190839,1,1,1,1
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-04-07,37,4937,522,89,7,6190839,1,1,1,1
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-04-08,38,5905,968,106,17,6190839,1,1,1,1
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-04-09,39,6575,670,125,19,6190839,1,1,1,1
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-04-10,40,7453,878,149,24,6190839,1,1,1,1
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-04-11,41,8326,873,170,21,6190839,1,1,1,1
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-04-12,42,8793,467,190,20,6190839,1,1,1,1
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-04-13,43,9552,759,217,27,6190839,1,1,1,1
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-04-14,44,10172,620,260,43,6190839,1,1,1,1
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-04-15,45,10739,567,271,11,6190839,1,1,1,1
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-04-16,46,11589,850,298,27,6190839,1,1,1,1
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-04-17,47,12436,847,328,30,6190839,1,1,1,1
