PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,TOT_EMP,"Working Out of House (0= maybe, 1=true,2=false)",Rationale,Percentage of total,Essential Location,EMP_PRSE,JOBS_1000,ANNUAL,HOURLY
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders","1,470",2,,0.052,,14.9,0.516,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",140,2,,0.005,,14.3,0.050,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",51-9111,Packaging and Filling Machine Operators and Tenders,"8,200",2,,0.288,,13.3,2.877,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",51-9081,Dental Laboratory Technicians,630,2,,0.022,,26.5,0.222,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",51-9082,Medical Appliance Technicians,330,2,,0.012,,21.7,0.116,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",11-0000,Management Occupations,"138,790",2,,#REF!,,1.1,48.723,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",11-1011,Chief Executives,"2,990",2,,0.105,,4.8,1.051,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",11-1021,General and Operations Managers,"38,640",2,,1.356,,2.3,13.564,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",11-1031,Legislators,950,2,,0.033,,8.5,0.332,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",11-2011,Advertising and Promotions Managers,350,2,,0.012,,13.5,0.124,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",11-2021,Marketing Managers,"5,420",2,,0.190,,5.6,1.901,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",11-2022,Sales Managers,"5,930",2,,0.208,,6.6,2.081,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",11-2031,Public Relations and Fundraising Managers,"1,090",2,,0.038,,5.1,0.384,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",11-3011,Administrative Services Managers,"4,950",2,,0.174,,4.1,1.737,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",11-3031,Financial Managers,"11,930",2,,0.419,,3.2,4.186,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",11-3071,"Transportation, Storage, and Distribution Managers","1,990",2,,0.070,,5.6,0.699,,
