PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,TOT_EMP,"Working Out of House (0= maybe, 1=true,2=false)",Rationale,Percentage of total,Essential Location,EMP_PRSE,JOBS_1000,ANNUAL,HOURLY
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",21-1013,Marriage and Family Therapists,"2,180",2,,0.077,,19.1,0.767,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",21-1015,Rehabilitation Counselors,"2,960",2,,0.104,,22.7,1.037,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",21-1019,"Counselors, All Other",270,2,,0.009,,15.3,0.096,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",21-1021,"Child, Family, and School Social Workers","9,150",2,,0.321,,4.5,3.211,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",21-1023,Mental Health and Substance Abuse Social Workers,"3,920",2,,0.138,,13.2,1.375,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",21-1029,"Social Workers, All Other",570,2,,0.020,,9.3,0.200,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",21-1091,Health Educators,860,2,,0.030,,8.2,0.302,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",21-1093,Social and Human Service Assistants,"12,560",2,,0.441,,6.0,4.408,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",21-1094,Community Health Workers,"1,120",2,,0.039,,8.3,0.392,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",21-1099,"Community and Social Service Specialists, All Other",940,2,,0.033,,8.7,0.331,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",21-2011,Clergy,970,2,,0.034,,12.9,0.340,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",21-2021,"Directors, Religious Activities and Education",570,2,,0.020,,12.3,0.199,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",21-2099,"Religious Workers, All Other",410,2,,0.014,,17.7,0.143,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",23-0000,Legal Occupations,"31,180",2,,1.095,,2.8,10.945,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",23-1011,Lawyers,"18,280",2,,0.642,,4.2,6.417,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",23-1012,Judicial Law Clerks,530,2,,0.019,,2.5,0.185,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",380,2,,0.013,,5.5,0.134,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",23-1022,"Arbitrators, Mediators, and Conciliators",130,2,,0.005,,44.3,0.046,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",23-1023,"Judges, Magistrate Judges, and Magistrates",460,2,,0.016,,2.0,0.161,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",23-2011,Paralegals and Legal Assistants,"8,820",2,,0.310,,7.1,3.095,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",23-2091,Court Reporters,**,2,,#VALUE!,,**,**,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",23-2093,"Title Examiners, Abstractors, and Searchers","1,080",2,,0.038,,29.3,0.380,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",23-2099,"Legal Support Workers, All Other",980,2,,0.034,,7.2,0.344,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-0000,"Education, Training, and Library Occupations","182,560",2,,6.409,,2.1,64.086,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-1011,"Business Teachers, Postsecondary","2,760",2,,0.097,,4.7,0.967,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-1021,"Computer Science Teachers, Postsecondary",670,2,,0.024,,7.6,0.234,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-1022,"Mathematical Science Teachers, Postsecondary","1,120",2,,0.039,,5.4,0.393,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-1031,"Architecture Teachers, Postsecondary",260,2,,0.009,,34.3,0.090,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-1032,"Engineering Teachers, Postsecondary","1,580",2,,0.055,,13.0,0.553,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-1041,"Agricultural Sciences Teachers, Postsecondary",**,2,,#VALUE!,,**,**,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-1042,"Biological Science Teachers, Postsecondary","1,710",2,,0.060,,9.7,0.602,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",420,2,,0.015,,5.5,0.146,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-1052,"Chemistry Teachers, Postsecondary",760,2,,0.027,,5.2,0.266,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-1053,"Environmental Science Teachers, Postsecondary",120,2,,0.004,,11.0,0.043,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-1054,"Physics Teachers, Postsecondary",390,2,,0.014,,6.4,0.138,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-1061,"Anthropology and Archeology Teachers, Postsecondary",100,2,,0.004,,10.6,0.035,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",240,2,,0.008,,5.7,0.083,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-1063,"Economics Teachers, Postsecondary",390,2,,0.014,,10.0,0.135,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-1064,"Geography Teachers, Postsecondary",**,2,,#VALUE!,,**,**,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-1065,"Political Science Teachers, Postsecondary",260,2,,0.009,,5.0,0.090,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-1066,"Psychology Teachers, Postsecondary",870,2,,0.031,,9.5,0.305,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-1067,"Sociology Teachers, Postsecondary",480,2,,0.017,,9.0,0.167,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-1069,"Social Sciences Teachers, Postsecondary, All Other",320,2,,0.011,,19.9,0.112,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-1071,"Health Specialties Teachers, Postsecondary","7,060",2,,0.248,,15.4,2.477,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-1072,"Nursing Instructors and Teachers, Postsecondary","2,650",2,,0.093,,10.5,0.929,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-1081,"Education Teachers, Postsecondary","1,310",2,,0.046,,4.8,0.461,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-1082,"Library Science Teachers, Postsecondary",110,2,,0.004,,28.1,0.040,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",330,2,,0.012,,10.3,0.114,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-1112,"Law Teachers, Postsecondary",460,2,,0.016,,21.4,0.162,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-1113,"Social Work Teachers, Postsecondary",320,2,,0.011,,17.6,0.113,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-1121,"Art, Drama, and Music Teachers, Postsecondary","2,740",2,,0.096,,14.9,0.963,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-1122,"Communications Teachers, Postsecondary",700,2,,0.025,,7.7,0.247,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-1123,"English Language and Literature Teachers, Postsecondary","1,840",2,,0.065,,8.5,0.645,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-1124,"Foreign Language and Literature Teachers, Postsecondary",680,2,,0.024,,5.0,0.237,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-1125,"History Teachers, Postsecondary",460,2,,0.016,,6.1,0.160,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-1126,"Philosophy and Religion Teachers, Postsecondary",480,2,,0.017,,13.0,0.167,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-1191,Graduate Teaching Assistants,"1,250",2,,0.044,,29.7,0.437,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",500,2,,0.018,,12.7,0.176,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-1194,"Vocational Education Teachers, Postsecondary","2,070",2,,0.073,,13.0,0.728,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-2011,"Preschool Teachers, Except Special Education","9,400",2,,0.330,,8.1,3.302,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-2012,"Kindergarten Teachers, Except Special Education","1,810",2,,0.064,,10.4,0.634,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-2021,"Elementary School Teachers, Except Special Education","27,560",2,,0.967,,6.6,9.676,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-2022,"Middle School Teachers, Except Special and Career/Technical Education","12,760",2,,0.448,,10.7,4.478,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-2023,"Career/Technical Education Teachers, Middle School",210,2,,0.007,,23.5,0.072,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-2031,"Secondary School Teachers, Except Special and Career/Technical Education","22,870",2,,0.803,,5.1,8.029,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-2032,"Career/Technical Education Teachers, Secondary School","1,290",2,,0.045,,20.2,0.453,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-2051,"Special Education Teachers, Preschool",130,2,,0.005,,29.6,0.045,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-2052,"Special Education Teachers, Kindergarten and Elementary School","4,980",2,,0.175,,6.6,1.749,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-2053,"Special Education Teachers, Middle School","2,430",2,,0.085,,10.0,0.854,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-2054,"Special Education Teachers, Secondary School","4,450",2,,0.156,,9.8,1.561,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-2059,"Special Education Teachers, All Other",600,2,,0.021,,27.6,0.210,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,"1,030",2,,0.036,,15.1,0.362,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-3021,Self-Enrichment Education Teachers,"7,450",2,,0.262,,9.4,2.614,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-3097,"Teachers and Instructors, All Other, Except Substitute Teachers","4,280",2,,0.150,,9.5,1.502,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-3098,Substitute Teachers,"5,260",2,,0.185,,12.5,1.845,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-4011,Archivists,150,2,,0.005,,10.1,0.052,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-4012,Curators,350,2,,0.012,,15.2,0.122,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-4013,Museum Technicians and Conservators,290,2,,0.010,,18.2,0.100,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-4021,Librarians,"2,510",2,,0.088,,5.0,0.880,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-4031,Library Technicians,"1,280",2,,0.045,,9.8,0.450,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-9011,Audio-Visual and Multimedia Collections Specialists,170,2,,0.006,,10.3,0.061,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-9021,Farm and Home Management Advisors,50,2,,0.002,,0.0,0.016,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-9031,Instructional Coordinators,"3,520",2,,0.124,,5.4,1.237,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-9041,Teacher Assistants,"28,340",2,,0.995,,4.1,9.950,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-9099,"Education, Training, and Library Workers, All Other","1,710",2,,0.060,,10.3,0.601,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","32,400",2,,1.137,,4.1,11.373,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",27-1011,Art Directors,630,2,,0.022,,9.2,0.221,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",27-1014,Multimedia Artists and Animators,190,2,,0.007,,20.8,0.068,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",27-1019,"Artists and Related Workers, All Other",60,2,,0.002,,19.4,0.022,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",27-1021,Commercial and Industrial Designers,390,2,,0.014,,10.8,0.135,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",27-1022,Fashion Designers,**,2,,#VALUE!,,**,**,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",27-1023,Floral Designers,880,2,,0.031,,10.9,0.310,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",27-1024,Graphic Designers,"4,990",2,,0.175,,4.6,1.752,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",27-1025,Interior Designers,"1,020",2,,0.036,,10.9,0.357,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",27-1026,Merchandise Displayers and Window Trimmers,"2,840",2,,0.100,,35.1,0.995,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",27-1027,Set and Exhibit Designers,60,2,,0.002,,15.0,0.019,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",27-1029,"Designers, All Other",40,2,,0.001,,27.8,0.015,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",27-2011,Actors,940,2,,0.033,,11.6,0.331,,TRUE
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",27-2012,Producers and Directors,"1,460",2,,0.051,,10.6,0.514,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",27-2021,Athletes and Sports Competitors,290,2,,0.010,,22.3,0.101,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",27-2022,Coaches and Scouts,"4,080",2,,0.143,,10.9,1.432,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",27-2023,"Umpires, Referees, and Other Sports Officials",170,2,,0.006,,16.7,0.060,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",27-2031,Dancers,160,2,,0.006,,41.6,0.057,,TRUE
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",27-2032,Choreographers,70,2,,0.002,,44.5,0.026,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",27-2041,Music Directors and Composers,140,2,,0.005,,16.9,0.048,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",27-2042,Musicians and Singers,580,2,,0.020,,23.3,0.203,,TRUE
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",60,2,,0.002,,21.0,0.022,,TRUE
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",27-3012,Public Address System and Other Announcers,110,2,,0.004,,25.5,0.039,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",27-3031,Public Relations Specialists,"4,420",2,,0.155,,5.5,1.552,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",27-3041,Editors,"1,890",2,,0.066,,8.7,0.662,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",27-3042,Technical Writers,"1,100",2,,0.039,,7.2,0.385,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",27-3043,Writers and Authors,930,2,,0.033,,12.1,0.328,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",27-3091,Interpreters and Translators,460,2,,0.016,,24.7,0.161,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",27-3099,"Media and Communication Workers, All Other",80,2,,0.003,,19.8,0.029,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",27-4011,Audio and Video Equipment Technicians,920,2,,0.032,,9.6,0.324,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",27-4014,Sound Engineering Technicians,130,2,,0.005,,17.2,0.047,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",27-4021,Photographers,800,2,,0.028,,11.2,0.282,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",27-4031,"Camera Operators, Television, Video, and Motion Picture",390,2,,0.014,,24.8,0.137,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",27-4032,Film and Video Editors,230,2,,0.008,,16.1,0.081,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",27-4099,"Media and Communication Equipment Workers, All Other",60,2,,0.002,,3.5,0.022,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",29-1011,Chiropractors,520,2,,0.018,,21.6,0.182,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",29-1129,"Therapists, All Other",70,2,,0.002,,19.9,0.026,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",29-2091,Orthotists and Prosthetists,120,2,,0.004,,43.3,0.042,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",29-9091,Athletic Trainers,760,2,,0.027,,34.0,0.265,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",33-3031,Fish and Game Wardens,40,2,,0.001,,0.0,0.014,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",33-3041,Parking Enforcement Workers,290,2,,0.010,,5.6,0.102,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",33-9021,Private Detectives and Investigators,**,2,,#VALUE!,,**,**,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",33-9031,Gaming Surveillance Officers and Gaming Investigators,160,2,,0.006,,35.4,0.056,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",33-9032,Security Guards,"27,140",2,,0.953,,5.8,9.526,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",33-9091,Crossing Guards,"3,560",2,,0.125,,15.3,1.249,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","2,640",2,,0.093,,10.8,0.926,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",33-9099,"Protective Service Workers, All Other","4,010",2,,0.141,,8.3,1.406,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",35-1011,Chefs and Head Cooks,"2,110",2,,0.074,,8.6,0.741,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",35-2011,"Cooks, Fast Food","4,340",2,,0.152,,18.6,1.523,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",35-2012,"Cooks, Institution and Cafeteria","6,870",2,,0.241,,5.6,2.410,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",35-3011,Bartenders,"13,440",2,,0.472,,7.7,4.718,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop","9,470",2,,0.332,,11.2,3.324,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",35-3031,Waiters and Waitresses,"46,060",2,,1.617,,2.8,16.171,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",35-3041,"Food Servers, Nonrestaurant","7,250",2,,0.255,,5.9,2.544,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","8,100",2,,0.284,,8.8,2.844,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",35-9099,"Food Preparation and Serving Related Workers, All Other",910,2,,0.032,,26.2,0.318,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers","1,410",2,,0.049,,13.1,0.494,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","44,030",2,,1.546,,3.3,15.456,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37-2012,Maids and Housekeeping Cleaners,"12,210",2,,0.429,,6.4,4.287,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37-2021,Pest Control Workers,"1,100",2,,0.039,,6.2,0.387,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37-3011,Landscaping and Groundskeeping Workers,"16,920",2,,0.594,,6.2,5.939,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",270,2,,0.009,,26.9,0.094,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37-3013,Tree Trimmers and Pruners,"1,140",2,,0.040,,38.9,0.399,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37-3019,"Grounds Maintenance Workers, All Other",110,2,,0.004,,17.4,0.037,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",39-1010,First-Line Supervisors of Gaming Workers,540,2,,0.019,,26.3,0.188,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",39-1021,First-Line Supervisors of Personal Service Workers,"6,290",2,,0.221,,6.1,2.206,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",39-2011,Animal Trainers,260,2,,0.009,,16.9,0.091,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",39-2021,Nonfarm Animal Caretakers,"4,500",2,,0.158,,7.0,1.578,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",39-3011,Gaming Dealers,"1,570",2,,0.055,,16.5,0.551,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",39-3012,Gaming and Sports Book Writers and Runners,**,2,,#VALUE!,,**,**,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",39-3021,Motion Picture Projectionists,250,2,,0.009,,22.2,0.089,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",39-3031,"Ushers, Lobby Attendants, and Ticket Takers","2,360",2,,0.083,,14.7,0.829,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",39-3091,Amusement and Recreation Attendants,"4,590",2,,0.161,,11.5,1.610,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",39-3092,Costume Attendants,**,2,,#VALUE!,,**,**,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",460,2,,0.016,,27.5,0.160,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",39-5011,Barbers,**,2,,#VALUE!,,**,**,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",39-5012,"Hairdressers, Hairstylists, and Cosmetologists","12,850",2,,0.451,,7.4,4.512,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",39-5092,Manicurists and Pedicurists,"4,140",2,,0.145,,22.2,1.452,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",39-5093,Shampooers,"1,720",2,,0.060,,8.2,0.603,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",39-5094,Skincare Specialists,"1,410",2,,0.049,,21.5,0.495,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",39-7010,Tour and Travel Guides,970,2,,0.034,,17.6,0.342,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",39-9011,Childcare Workers,"13,680",2,,0.480,,6.7,4.802,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",39-9031,Fitness Trainers and Aerobics Instructors,"7,840",2,,0.275,,9.5,2.752,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",39-9032,Recreation Workers,"6,540",2,,0.230,,5.3,2.297,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",41-0000,Sales and Related Occupations,"275,280",2,,9.664,,1.9,96.634,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",41-1011,First-Line Supervisors of Retail Sales Workers,"20,780",2,,0.729,,3.1,7.293,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",41-1012,First-Line Supervisors of Non-Retail Sales Workers,"6,010",2,,0.211,,6.3,2.110,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",41-2021,Counter and Rental Clerks,"5,220",2,,0.183,,8.5,1.833,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",41-2022,Parts Salespersons,"3,870",2,,0.136,,8.1,1.360,,
